run_name,start_idx,start_time,grating_spacing[µm],A[Wm^-2],B[Wm^-2],C[Wm^-2],alpha[m^2s^-1],beta[s^0.5],theta[rad],tau[s],f[Hz],A_err[Wm^-2],B_err[Wm^-2],C_err[Wm^-2],alpha_err[m^2s^-1],beta_err[s^0.5],theta_err[rad],tau_err[s],f_err[Hz]
Cu-110-2024-05-01-03.40um-irradiation-POS-21.txt,51,2.5750000000000007e-09,3.5276,8.898774511572115e-06,-0.029061415773204227,0.0014368684777973316,7.033147153767577e-05,0.18681821928447545,-13.885359278907048,3.4541739863348968e-09,620136903.3161801,0.16127249532475518,0.0028490039139786342,9.445313082199592e-05,1.9418354403020226e-05,3370.6863320234415,0.08914334581625388,1.5973059936377213e-10,1998946.2991307238
Cu-110-2024-05-01-03.40um-irradiation-POS-22.txt,51,2.5750000000000007e-09,3.5276,9.755574730371974e-06,-0.028599108266613806,0.0014890191806437524,7.090018589756773e-05,0.18300752246220026,-13.76344508691896,3.6455347998248786e-09,618317436.4749365,0.1684386666550306,0.0025432185355496123,9.591756159030494e-05,1.8789143161958832e-05,3145.762981088293,0.08065092988980109,1.5873167420754194e-10,1780755.94905727
Cu-110-2024-05-01-03.40um-irradiation-POS-23.txt,51,2.5750000000000007e-09,3.5276,9.027467341580992e-06,-0.02919211355322566,0.0013990676684222764,6.707721519928734e-05,0.18914963284538713,-13.81008618715572,3.5582958991966686e-09,619832016.3685269,0.16069639290385485,0.0029988111296472995,0.00011522414003160145,1.966699133921186e-05,3351.5809950441044,0.09292168536998098,1.760511831239398e-10,2068824.8191671611
Cu-110-2024-05-01-03.40um-irradiation-POS-24.txt,51,2.5500000000000005e-09,3.5276,0.00022213311803915143,-0.0013143560987065568,0.0007665494459638972,3.2678162704665355e-05,0.0035607920604625153,0.06028036992626219,9.632738900607487e-09,270810489.68614274,0.09405990459990378,0.0010663371142848918,0.0009530263473204536,4.719570413170986e-05,1.5108957457872625,0.8703075331958999,7.045652046746869e-09,12676011.04887715
Cu-110-2024-05-01-03.40um-irradiation-POS-25.txt,51,2.5750000000000007e-09,3.5276,6.581693997150665e-06,-0.022074314230021763,0.0016178641396380597,5.988848379258125e-05,0.20459090715802508,-13.829848280710957,4.049988068337313e-09,619966076.2833364,0.1140264132534313,0.00203428879041794,0.00013042266311776157,1.9605778436461154e-05,3528.5485973992745,0.08396576952858192,1.9682949407395244e-10,1796457.6627289983
Cu-110-2024-05-01-03.40um-irradiation-POS-26.txt,51,2.5750000000000007e-09,3.5276,9.872333335291906e-06,-0.02709097721033863,0.0015859256995588793,7.253680725920185e-05,0.17977861935944034,-13.701509459264434,3.605641804333545e-09,615929308.2087313,0.19334749037243532,0.002814242647444517,9.982780953122937e-05,2.125880132325353e-05,3504.5284003665583,0.09445849608848945,1.819734109632999e-10,2090763.258130384
Cu-110-2024-05-01-03.40um-irradiation-POS-27.txt,51,2.5750000000000007e-09,3.5276,1.168414274012589e-05,-0.03528171924528202,0.001755457818554826,7.670216793324238e-05,0.16688106259410518,-13.750191538522715,3.2502604821377635e-09,617021892.2494247,0.24783572188180827,0.0040648580459379195,0.0001001604093759994,2.3572424557942548e-05,3522.4635049059957,0.1043082146125617,1.6879326627875744e-10,2376866.7900815737
Cu-110-2024-05-01-03.40um-irradiation-POS-28.txt,51,2.5750000000000007e-09,3.5276,1.0336496466524953e-05,-0.02293448869349287,0.001278210545419604,7.492561544391937e-05,0.1751243787451837,-13.796838934967967,3.778742701143682e-09,618338044.1723473,0.22127746015995525,0.002607760723062367,0.00010000299898821107,2.323356516140212e-05,3730.6500210495497,0.10391116466989908,2.157482562562798e-10,2265906.608696301
Cu-110-2024-05-01-03.40um-irradiation-POS-29.txt,51,2.550000000000002e-09,3.5276,1.0017849579123426e-05,-0.027744816440007352,0.0015884728752823866,7.318921748423248e-05,0.16609301235812798,-13.371900152087555,3.448933048723444e-09,616298337.3694131,0.19650804203576416,0.0031626770534200935,9.864367450972608e-05,2.2948961758935354e-05,3242.1500602950537,0.10210156101142912,1.854387566828421e-10,2300873.198147311
Cu-110-2024-05-01-03.40um-irradiation-POS-30.txt,51,2.5750000000000007e-09,3.5276,7.315452166241404e-06,0.03226484950310804,0.001341335478212816,6.363450297363147e-05,0.20782008871646104,-10.71794856220255,3.29895468149353e-09,620608791.9567914,0.13633475937801395,0.003563053526054061,0.00012066702593534774,1.9581261480712727e-05,3855.1713187779387,0.09940392197048707,1.662481403903215e-10,2263046.9755411507
