fit_time[ns] Functional_fit[mV] Thermal_fit[mV]
18.700000 -2.158278 -1.753357
18.750000 -2.133195 -1.758657
18.800000 -2.098950 -1.763877
18.850000 -2.056745 -1.769017
18.900000 -2.007961 -1.774078
18.950000 -1.954119 -1.779063
19.000000 -1.896842 -1.783971
19.050000 -1.837802 -1.788805
19.100000 -1.778687 -1.793565
19.150000 -1.721149 -1.798252
19.200000 -1.666765 -1.802868
19.250000 -1.616997 -1.807413
19.300000 -1.573158 -1.811889
19.350000 -1.536379 -1.816297
19.400000 -1.507585 -1.820638
19.450000 -1.487473 -1.824913
19.500000 -1.476502 -1.829123
19.550000 -1.474884 -1.833269
19.600000 -1.482581 -1.837351
19.650000 -1.499316 -1.841371
19.700000 -1.524580 -1.845331
19.750000 -1.557654 -1.849230
19.800000 -1.597629 -1.853069
19.850000 -1.643433 -1.856850
19.900000 -1.693865 -1.860574
19.950000 -1.747625 -1.864241
20.000000 -1.803352 -1.867853
20.050000 -1.859659 -1.871409
20.100000 -1.915172 -1.874912
20.150000 -1.968561 -1.878361
20.200000 -2.018576 -1.881757
20.250000 -2.064081 -1.885103
20.300000 -2.104072 -1.888397
20.350000 -2.137712 -1.891641
20.400000 -2.164339 -1.894836
20.450000 -2.183487 -1.897983
20.500000 -2.194890 -1.901082
20.550000 -2.198485 -1.904133
20.600000 -2.194415 -1.907139
20.650000 -2.183012 -1.910098
20.700000 -2.164794 -1.913013
20.750000 -2.140441 -1.915884
20.800000 -2.110778 -1.918711
20.850000 -2.076751 -1.921495
20.900000 -2.039397 -1.924237
20.950000 -1.999818 -1.926938
21.000000 -1.959152 -1.929597
21.050000 -1.918539 -1.932216
21.100000 -1.879095 -1.934796
21.150000 -1.841885 -1.937336
21.200000 -1.807891 -1.939838
21.250000 -1.777993 -1.942302
21.300000 -1.752945 -1.944728
21.350000 -1.733363 -1.947118
21.400000 -1.719705 -1.949472
21.450000 -1.712269 -1.951790
21.500000 -1.711183 -1.954073
21.550000 -1.716407 -1.956321
21.600000 -1.727741 -1.958535
21.650000 -1.744827 -1.960716
21.700000 -1.767166 -1.962864
21.750000 -1.794132 -1.964979
21.800000 -1.824990 -1.967063
21.850000 -1.858919 -1.969114
21.900000 -1.895036 -1.971135
21.950000 -1.932413 -1.973125
22.000000 -1.970113 -1.975085
22.050000 -2.007203 -1.977016
22.100000 -2.042788 -1.978917
22.150000 -2.076026 -1.980789
22.200000 -2.106152 -1.982634
22.250000 -2.132498 -1.984450
22.300000 -2.154503 -1.986239
22.350000 -2.171731 -1.988001
22.400000 -2.183877 -1.989736
22.450000 -2.190771 -1.991445
22.500000 -2.192384 -1.993128
22.550000 -2.188822 -1.994786
22.600000 -2.180323 -1.996419
22.650000 -2.167245 -1.998027
22.700000 -2.150059 -1.999611
22.750000 -2.129331 -2.001170
22.800000 -2.105709 -2.002707
22.850000 -2.079898 -2.004220
22.900000 -2.052649 -2.005710
22.950000 -2.024734 -2.007178
23.000000 -1.996924 -2.008624
23.050000 -1.969974 -2.010048
23.100000 -1.944601 -2.011450
23.150000 -1.921465 -2.012831
23.200000 -1.901155 -2.014192
23.250000 -1.884176 -2.015532
23.300000 -1.870935 -2.016852
23.350000 -1.861735 -2.018151
23.400000 -1.856766 -2.019432
23.450000 -1.856108 -2.020693
23.500000 -1.859722 -2.021934
23.550000 -1.867465 -2.023158
23.600000 -1.879085 -2.024362
23.650000 -1.894236 -2.025549
23.700000 -1.912487 -2.026718
23.750000 -1.933336 -2.027869
23.800000 -1.956221 -2.029003
23.850000 -1.980540 -2.030120
23.900000 -2.005664 -2.031220
23.950000 -2.030956 -2.032303
24.000000 -2.055788 -2.033370
24.050000 -2.079553 -2.034421
24.100000 -2.101687 -2.035456
24.150000 -2.121674 -2.036476
24.200000 -2.139069 -2.037480
24.250000 -2.153497 -2.038469
24.300000 -2.164671 -2.039444
24.350000 -2.172391 -2.040403
24.400000 -2.176551 -2.041348
24.450000 -2.177137 -2.042279
24.500000 -2.174231 -2.043196
