Study Name	Cu-110
Sample Name	2024-05-01
Run Name	cooldown
Operator	Angus+Akarsh
Date	5/1/2024
Time	14:47
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	5
dt	50.000001E-12
time stamp (ms)	2:52:28 PM
	
Time	Amplitude
1.650000E-8	2.009284E-2
1.655000E-8	2.099385E-2
1.660000E-8	2.176810E-2
1.665000E-8	2.243958E-2
1.670000E-8	2.302198E-2
1.675000E-8	2.345021E-2
1.680000E-8	2.373799E-2
1.685000E-8	2.391271E-2
1.690000E-8	2.393326E-2
1.695000E-8	2.376197E-2
1.700000E-8	2.345021E-2
1.705000E-8	2.299457E-2
1.710000E-8	2.234708E-2
1.715000E-8	2.155570E-2
1.720000E-8	2.062043E-2
1.725000E-8	1.950016E-2
1.730000E-8	1.827369E-2
1.735000E-8	1.704380E-2
1.740000E-8	1.579677E-2
1.745000E-8	1.452234E-2
1.750000E-8	1.332671E-2
1.755000E-8	1.226126E-2
1.760000E-8	1.129858E-2
1.765000E-8	1.043183E-2
1.770000E-8	9.708968E-3
1.775000E-8	9.123141E-3
1.780000E-8	8.674349E-3
1.785000E-8	8.342038E-3
1.790000E-8	8.109078E-3
1.795000E-8	7.992597E-3
1.800000E-8	7.978894E-3
1.805000E-8	8.006301E-3
1.810000E-8	8.098800E-3
1.815000E-8	8.273520E-3
1.820000E-8	8.489351E-3
1.825000E-8	8.725738E-3
1.830000E-8	9.030642E-3
1.835000E-8	9.373231E-3
1.840000E-8	9.712394E-3
1.845000E-8	1.008582E-2
1.850000E-8	1.049350E-2
1.855000E-8	1.085664E-2
1.860000E-8	1.117868E-2
1.865000E-8	1.149043E-2
1.870000E-8	1.173024E-2
1.875000E-8	1.186043E-2
1.880000E-8	1.190496E-2
1.885000E-8	1.186043E-2
1.890000E-8	1.170284E-2
1.895000E-8	1.143904E-2
1.900000E-8	1.106562E-2
1.905000E-8	1.061683E-2
1.910000E-8	1.016804E-2
1.915000E-8	9.702116E-3
1.920000E-8	9.177955E-3
1.925000E-8	8.657220E-3
1.930000E-8	8.181021E-3
1.935000E-8	7.694545E-3
1.940000E-8	7.204643E-3
1.945000E-8	6.759277E-3
1.950000E-8	6.348170E-3
1.955000E-8	5.933637E-3
1.960000E-8	5.539660E-3
1.965000E-8	5.186793E-3
1.970000E-8	4.851056E-3
1.975000E-8	4.549578E-3
1.980000E-8	4.309765E-3
1.985000E-8	4.131619E-3
1.990000E-8	4.011713E-3
1.995000E-8	3.987732E-3
2.000000E-8	4.059675E-3
2.005000E-8	4.203563E-3
2.010000E-8	4.402264E-3
2.015000E-8	4.648929E-3
2.020000E-8	4.926426E-3
2.025000E-8	5.238182E-3
2.030000E-8	5.560215E-3
2.035000E-8	5.854842E-3
2.040000E-8	6.108358E-3
2.045000E-8	6.307059E-3
2.050000E-8	6.430391E-3
2.055000E-8	6.478354E-3
2.060000E-8	6.464650E-3
2.065000E-8	6.402984E-3
2.070000E-8	6.276226E-3
2.075000E-8	6.084376E-3
2.080000E-8	5.844564E-3
2.085000E-8	5.570493E-3
2.090000E-8	5.275866E-3
2.095000E-8	4.967536E-3
2.100000E-8	4.642077E-3
2.105000E-8	4.326895E-3
2.110000E-8	4.035694E-3
2.115000E-8	3.737642E-3
2.120000E-8	3.429312E-3
2.125000E-8	3.151815E-3
2.130000E-8	2.894873E-3
2.135000E-8	2.631079E-3
2.140000E-8	2.380989E-3
2.145000E-8	2.148029E-3
2.150000E-8	1.925346E-3
2.155000E-8	1.726644E-3
2.160000E-8	1.558776E-3
2.165000E-8	1.390907E-3
2.170000E-8	1.236742E-3
2.175000E-8	1.147669E-3
2.180000E-8	1.130539E-3
2.185000E-8	1.140817E-3
2.190000E-8	1.202483E-3
2.195000E-8	1.346370E-3
2.200000E-8	1.527943E-3
2.205000E-8	1.723218E-3
2.210000E-8	1.928772E-3
2.215000E-8	2.134325E-3
2.220000E-8	2.319323E-3
2.225000E-8	2.497470E-3
2.230000E-8	2.661912E-3
2.235000E-8	2.802374E-3
2.240000E-8	2.935983E-3
2.245000E-8	3.083297E-3
2.250000E-8	3.251165E-3
2.255000E-8	3.446441E-3
2.260000E-8	3.658846E-3
2.265000E-8	3.867826E-3
2.270000E-8	4.049398E-3
2.275000E-8	4.193285E-3
2.280000E-8	4.265229E-3
2.285000E-8	4.213840E-3
2.290000E-8	4.052824E-3
2.295000E-8	3.809585E-3
2.300000E-8	3.463571E-3
2.305000E-8	3.011353E-3
2.310000E-8	2.531728E-3
2.315000E-8	2.072659E-3
2.320000E-8	1.603312E-3
2.325000E-8	1.106558E-3
2.330000E-8	6.680442E-4
2.335000E-8	3.117517E-4
2.340000E-8	2.055100E-5
2.345000E-8	-1.952801E-4
2.350000E-8	-3.220380E-4
2.355000E-8	-3.905558E-4
2.360000E-8	-4.213888E-4
2.365000E-8	-3.974076E-4
2.370000E-8	-3.254639E-4
2.375000E-8	-2.261131E-4
2.380000E-8	-9.935515E-5
2.385000E-8	7.879113E-5
2.390000E-8	3.357329E-4
2.395000E-8	6.166559E-4
2.400000E-8	8.393387E-4
2.405000E-8	1.014059E-3
2.410000E-8	1.216187E-3
2.415000E-8	1.408036E-3
2.420000E-8	1.517665E-3
2.425000E-8	1.586183E-3
2.430000E-8	1.658126E-3
2.435000E-8	1.688959E-3
2.440000E-8	1.671830E-3
2.445000E-8	1.661552E-3
2.450000E-8	1.685534E-3
2.455000E-8	1.740348E-3
2.460000E-8	1.836273E-3
2.465000E-8	1.939049E-3
2.470000E-8	2.007567E-3
2.475000E-8	2.038400E-3
2.480000E-8	2.014419E-3
2.485000E-8	1.897939E-3
2.490000E-8	1.706089E-3
2.495000E-8	1.466277E-3
2.500000E-8	1.154521E-3
2.505000E-8	7.708209E-4
2.510000E-8	3.631400E-4
2.515000E-8	-4.796680E-5
2.520000E-8	-4.350924E-4
2.525000E-8	-7.776814E-4
2.530000E-8	-1.065456E-3
2.535000E-8	-1.284713E-3
2.540000E-8	-1.408045E-3
2.545000E-8	-1.435452E-3
2.550000E-8	-1.373786E-3
2.555000E-8	-1.219621E-3
2.560000E-8	-1.003790E-3
2.565000E-8	-7.331448E-4
2.570000E-8	-3.939817E-4
2.575000E-8	-2.741146E-5
2.580000E-8	3.048999E-4
